# CID	category
5950	amino-acid
71080	amino-acid-enantiomer
6306	amino-acid
6288	amino-acid
6287	amino-acid
6106	amino-acid
5951	amino-acid
5862	amino-acid
6140	amino-acid
5793	carbohydrate
5984	carbohydrate
6036	carbohydrate
5779	carbohydrate
5988	carbohydrate
6134	carbohydrate
5997	steroid
6013	steroid
5757	steroid
5994	steroid
5754	steroid
5288826	alkaloid
5284371	alkaloid
3034034	alkaloid
89594	alkaloid
446220	alkaloid
33613	antibiotic
5904	antibiotic
2666	antibiotic
12560	antibiotic
447043	antibiotic
54671203	antibiotic
14969	stress-large-molecule
156391	chiral-drug
39912	chiral-drug
9568614	chiral-drug
60606	chiral-drug
60823	chiral-drug
54454	chiral-drug
65028	chiral-drug
121304016	chiral-drug
392622	stress-large-molecule
155903259	chiral-drug
45375808	chiral-drug
54670067	vitamin-cofactor
171548	vitamin-cofactor
493570	vitamin-cofactor
14985	vitamin-cofactor
5280795	vitamin-cofactor
445354	geometric-isomerism
36314	complex-natural-product
2724385	complex-natural-product
5770	complex-natural-product
6167	complex-natural-product
441071	complex-natural-product
60961	nucleoside
6802	nucleoside
6175	nucleoside
6029	nucleoside
1135	heterocycle-baseline
445639	geometric-isomerism
5280450	geometric-isomerism
446284	geometric-isomerism
445580	geometric-isomerism
